"county","city","zip","street","price","br","lsqft","bsqft","year","date","long","lat"
"Santa Clara county","Willow Glen",95125,"1191 Laurie Avenue",675000,2,5663,1848,"1938","2004-04-11",-121.8953,37.295461
"Alameda County","Emeryville",94608,"4 Anchor Drive \#F343",360000,1,NA,660,"1973","2005-07-17",-122.307378,37.837279
"Alameda county","Emeryville",94608,"1200 65th Street #226",425000,NA,NA,NA,NA,"2003-06-01",NA,NA
"Alameda County","Fremont",94536,"37548 Summer Holly Common",609000,4,3877,1866,"1997","2004-01-18",-121.994332,37.562218
"Contra Costa County","Richmond",94801,"666 5th Street",390000,4,4480,1025,"1992","2006-01-29",-122.364390338332,37.9419478088097
"Santa Clara County","Evergreen",95135,"4585 Middle Park Drive",922500,NA,NA,NA,NA,"2003-05-25",-121.774786,37.303808
"Contra Costa County","Concord",94520,"2901 Gillet Avenue",330000,3,4500,1296,"1953","2004-10-31",-122.049141,37.995148
"Alameda County","Hayward",94545,"1962 Barton Way",525000,4,3500,1770,"1993","2004-06-20",-122.117269,37.6441
"Solano County","Vallejo",94591,"1581 Magazine Street",215000,3,4791,966,"1953","2003-07-20",-122.223624,38.082763
"Santa Clara County","Evergreen",95122,"1067 Walnut Woods Court",560000,4,5663,1344,"1985","2005-06-19",-121.852331,37.329252
"Contra Costa County","Richmond",94804,"2816 San Mateo Street",553000,3,2500,960,"1954","2005-10-02",-122.309736,37.902981
"San Mateo County","Daly City",94014,"401 C Street",525000,3,5000,1490,"2003","2004-04-25",-122.463552,37.684343
"San Mateo county","Atherton",94027,"270 Selby Lane",1600000,4,10000,2970,"1941","2004-11-28",-122.218207,37.454296
"Contra Costa County","Concord",94518,"825 Oak Grove Road #65",180000,1,NA,696,"1970","2003-11-09",NA,NA
"San Mateo County","Menlo Park",94025,"1218 Johnson Street",1410000,6,5600,2640,"1948","2004-08-22",-122.189143,37.449822
"Contra Costa County","Pleasant Hill",94523,"53 Matisse Court",565000,3,1410,1564,"2002","2004-11-14",-122.063144,37.939586
"Santa Clara County","Evergreen",95138,"5740 La Seyne Place",1900000,3,14375,4042,"1996","2004-10-31",-121.764832,37.270045
"Contra Costa County","Brentwood",94513,"877 East Boone Drive",462000,NA,NA,NA,NA,"2004-12-12",-121.71122,37.964651
"Alameda County","Oakland",94605,"3801 Keller Avenue",390000,2,5000,952,"1927","2004-09-19",-122.157921,37.770396
"Alameda County","Castro Valley",94546,"22381 Moyers Street",615000,3,5100,1424,"1949","2005-09-18",-122.067562,37.685032
